Country Name,Country Code,Year,ICT Service Imports (%),ICT Service Exports,Service Imports,Calculated ICT Service Imports,ICT_Exp-Imp,Cloud_Revenue_pC,Cloud_Companies_pP
Burundi,BDI,2022,5.83256025826563,3528550.13083564,348973226.472065,20354073.71919697,-16825523.58836133,0.1524582175265936,NaN
Burundi,BDI,2023,9.18727454063878,4504477.24025863,365163809.072187,33548601.66251584,-29044124.42225721,0.2739750081526166,NaN
Burundi,BDI,2024,12.7514681579478,3435115.48429227,360895728.548391,46019503.9092418,-42584388.424949534,0.3235027747139504,NaN
Cabo Verde,CPV,2018,31.8327285233691,13010155.87379138,373053388.5606045,118753072.4277265,-105742916.55393513,0.6928391537902184,NaN
Cabo Verde,CPV,2019,41.8487847353305,9742652.78533191,355434687.203265,148745097.12238967,-139002444.33705777,1.001291366541144,NaN
Cabo Verde,CPV,2020,42.9196911974669,8469371.02842575,218534974.14967,93794536.06350248,-85325165.03507672,1.447089756449419,NaN
Cabo Verde,CPV,2021,39.1380969177682,8962604.73877355,228606704.256868,89472313.47256872,-80509708.73379517,2.091401236826212,NaN
Cabo Verde,CPV,2022,32.1557086082595,10178918.3999138,247992301.140344,79743681.72560643,-69564763.32569262,2.549575255378294,NaN
Cabo Verde,CPV,2023,39.3114883785235,10762408.9003578,278311807.092459,109408513.70121078,-98646104.80085298,6.698079121848207,NaN
Cabo Verde,CPV,2024,37.6206951727054,12150659.1725855,297890400.531928,112068439.53286783,-99917780.36028232,8.09828921020947,NaN
Cambodia,KHM,2018,6.35769230371211,65376230.2230359,3056262446.869691,194307762.3658777,-128931532.1428418,0.2485042437864105,0.06320712976423741
Cambodia,KHM,2019,6.45965417299048,87026698.8682672,3273939807.61947,211485189.4040876,-124458490.5358204,0.3446213905141003,0.06219292244542571
Cambodia,KHM,2020,8.60051553040188,82834215.3403671,2024672455.87118,174132269.00697002,-91298053.66660292,0.4780088081382861,0.06120700208103807
Cambodia,KHM,2021,10.1072622365819,85372478.0205241,2089669679.92046,211208394.4279025,-125835916.4073784,0.6633910031819122,0.06027000964320155
Cambodia,KHM,2022,12.5326265468015,119449686.069598,2753635796.24164,345102890.8020087,-225653204.73241067,0.8886420056594087,0.05937184587068812
Cambodia,KHM,2023,15.5811011196177,238639638.7938,2870069509.0877,447188432.4142698,-208548793.6204698,1.931344937948089,0.0587820362097343
Cambodia,KHM,2024,12.2273443323224,313904469.953396,3081773248.46954,376819026.6317682,-62914556.678372204,2.200449045544528,0.05820044232336166
Cameroon,CMR,2018,22.7386111676857,143952321.4803202,2705153818.657692,615114408.3123741,-471162086.8320539,0.3285410110133175,0.07931472081218274
Cameroon,CMR,2019,20.245789036562,139417338.553095,2822981461.2021,571534871.1762325,-432117532.6231375,0.4507792330689742,0.07729169887154119
Cameroon,CMR,2020,25.8350924731188,149516051.479356,2117330014.6721,547014167.2516369,-397498115.7722809,0.6186673694335739,0.1130113764785655
Cameroon,CMR,2021,22.1301955974502,57768430.7018239,2452356645.00911,542711322.2875835,-484942891.5857596,0.8493752897110983,0.1101968851013811
Cameroon,CMR,2022,27.9941992435335,70478046.8639412,2542112844.25829,711644134.6171222,-641166087.753181,0.914002498458548,0.1074806534823732
Cameroon,CMR,2023,32.7404184250566,189864738.104039,2553584066.50182,836054108.2082716,-646189370.1042325,2.317770381511565,0.1048657718120805
Cameroon,CMR,2024,40.7294782639903,189161798.410076,2404715120.3887,979427922.2696038,-790266123.8595278,2.750826472243138,0.1023366877025414
Canada,CAN,2018,40.4853683206173,10539941061.72527,122227887628.4833,49484410496.90169,-38944469435.17642,103.0128481235509,14.48296360344781
Canada,CAN,2019,42.5731062601398,13458904779.6077,126628927209.174,53909867736.83673,-40450962957.22904,139.6190547334774,14.96471841299427
Canada,CAN,2020,57.41102184417,14343877819.6443,104751420149.95,60138860704.36608,-45794982884.72178,189.786552006396,15.07974103900205
Canada,CAN,2021,61.7610933699735,19918136337.6144,122083469425.057,75400085540.9125,-55481949203.29811,259.5002872922087,15.17490384866958
Canada,CAN,2022,51.7556149774415,21309133995.2388,145194295412.771,75146200503.04276,-53837066507.80396,315.597100019958,15.00025729429321
Canada,CAN,2023,49.9331083508391,24677827300.9343,159059069586.887,79423137558.65685,-54745310257.72255,677.941515498418,14.61132377592634
Canada,CAN,2024,48.14131317833,24441403401.4101,168194396355.121,80970991097.72046,-56529587696.31036,751.7427057567227,14.19405016527319
Cayman Islands,CYM,2018,33.896917558634,16625621.28264193,1389694065.147169,471063451.5801654,-454437830.2975234,NaN,NaN
Cayman Islands,CYM,2019,31.0938962436553,16146682.9560416,1410917732.24682,438709295.7481605,-422562612.7921189,NaN,NaN
Cayman Islands,CYM,2020,40.8276970971091,17147232.4078337,1276000828.14241,520961753.0705868,-503814520.6627531,NaN,NaN
Cayman Islands,CYM,2021,39.5957371514796,25120921.9597002,1426272588.0394,564743145.0236863,-539622223.0639861,NaN,NaN
Cayman Islands,CYM,2022,38.1682057538764,21591549.7971539,1678812529.27988,640772620.3974011,-619181070.6002471,NaN,NaN
Cayman Islands,CYM,2023,37.3791675383526,19546903.8460476,1827910283.63836,683257647.3719587,-663710743.5259111,NaN,NaN
Cayman Islands,CYM,2024,37.7910994528402,18131878.5856461,1996079582.55212,754340420.2001091,-736208541.614463,NaN,NaN
Chile,CHL,2018,44.6598868843678,374911761.8200468,16567154808.20632,7398872597.303043,-7023960835.482997,11.27999983752137,2.666524452029225
Chile,CHL,2019,44.5372594893949,382946372.909108,16547433677.1652,7369773475.634584,-6986827102.725476,16.37835896461443,2.669178834981944
Chile,CHL,2020,49.1501843204216,379690903.233987,13026956217.8147,6402772992.396547,-6023082089.16256,23.79545708697428,2.672422653921267
Chile,CHL,2021,40.9164256407506,496299255.667578,18337676561.0861,7503121794.358147,-7006822538.690569,34.81293635447781,2.642544974082732
Chile,CHL,2022,32.4644094547209,513100658.81,24023894981.3,7799215633.701377,-7286114974.891376,51.03061668787259,2.622421705582732
Chile,CHL,2023,38.1341194651119,601371092.94,20917664776.1,7976767275.029605,-7375396182.089605,121.7216981044729,2.605079905816342
Chile,CHL,2024,37.7048776854193,677077571.11,21106235969.0,7958080456.107422,-7281002884.997422,144.4864334408305,2.588867868166882
China,CHN,2018,23.8944449650265,30023209195.34,525735166743.267,125621500079.26024,-95598290883.92024,8.466998909040859,0.3856525853665478
China,CHN,2019,26.1739520551543,34947506467.31,505508186201.574,132311470291.28008,-97363963823.97008,11.29539763703993,0.3992681266311132
China,CHN,2020,36.5131613451916,38983783526.85,381413736078.785,139266212847.17,-100282429320.32,15.09685231998314,0.4128544316347053
China,CHN,2021,36.493950669311,50717900561.08,440604863617.54,160794121575.17004,-110076221014.09004,20.20000805470174,0.4275803482939261
China,CHN,2022,33.4596906171699,55893716412.98,459935422447.3,153892969389.63995,-97999252976.65994,25.98571849998266,0.4349211970958031
China,CHN,2023,30.3477041806717,57967257522.42,537173519456.66,163019830621.6101,-105052573099.19012,48.58485443305277,0.4369817049380351
China,CHN,2024,27.2923805381061,65033312106.02,612978060795.57,167296304967.43033,-102262992861.41034,55.68564242735629,0.4374130144573523
Colombia,COL,2018,33.4366570628151,577598817.382813,14893206512.41921,4979790387.214457,-4402191569.831644,6.685351543198363,1.989307472336193
Colombia,COL,2019,30.4996195461085,527338427.734375,14953812502.8519,4560855921.008235,-4033517493.27386,9.303509236639524,2.024455421491619
Colombia,COL,2020,38.7789955129493,534428741.210938,10149628353.5875,3935923923.818727,-3401495182.607789,12.98626064611409,2.023488335184891
Colombia,COL,2021,31.4263621400388,658266051.53218,14194903777.2357,4460941866.464138,-3802675814.931958,18.24161271748908,1.995422266564939
Colombia,COL,2022,29.7182803258373,1604784789.33551,17923824266.9088,5326652340.750409,-3721867551.414899,26.37138495643252,1.992918367741811
Colombia,COL,2023,36.2231507021177,1764844605.8725,17014472389.9431,6163177974.979297,-4398333369.106796,58.88848375412496,1.972575455798989
Colombia,COL,2024,33.6773002317812,2063575843.83807,18563834300.3899,6251798211.872686,-4188222368.034617,63.3378865215502,1.973584332776681
